entry,name,requiredlevel,ilvl
25,Worn Shortsword,1,2
35,Bent Staff,1,2
36,Worn Mace,1,2
37,Worn Axe,1,2
38,Recruit's Shirt,0,1
39,Recruit's Pants,1,1
40,Recruit's Boots,0,1
43,Squire's Boots,0,1
44,Squire's Pants,1,1
45,Squire's Shirt,0,1
47,Footpad's Shoes,0,1
48,Footpad's Pants,1,1
49,Footpad's Shirt,0,1
51,Neophyte's Boots,0,1
52,Neophyte's Pants,1,1
53,Neophyte's Shirt,0,1
55,Apprentice's Boots,0,1
56,Apprentice's Robe,1,1
57,Acolyte's Robe,1,1
59,Acolyte's Shoes,0,1
60,Layered Tunic,0,5
61,Dwarven Leather Pants,0,5
77,Deprecated Outfitter Cloth Armor,0,4
79,Dwarven Cloth Britches,0,5
80,Soft Fur-lined Shoes,0,5
85,Dirty Leather Vest,1,5
86,Deprecated Old Belt,0,1
87,Deprecated Old Boots,0,1
88,Deprecated Old Pants,1,1
94,Deprecated Dwarven Novice's Belt,1,1
95,Deprecated Dwarven Novice's Boots,1,1
97,Deprecated Dwarven Novice's Robe,1,1
98,Deprecated Dwarven Squire's Belt,1,1
99,Deprecated Dwarven Squire's Boots,1,1
100,Deprecated Dwarven Squire's Pants,1,1
101,Deprecated Dwarven Squire's Shirt,0,1
102,Deprecated Dwarven Recruit's Belt,1,1
103,Deprecated Dwarven Recruit's Boots,1,1
104,Deprecated Sturdy Brown Pants,1,1
105,Deprecated Dwarven Recruit's Shirt,0,1
113,Deprecated Dwarven Apprentice Pants,1,1
114,Deprecated Dwarven Apprentice Boots,1,1
115,Deprecated Dwarven Apprentice Belt,1,1
117,Tough Jerky,1,5
118,Minor Healing Potion,1,5
119,Deprecated Rogue's Vest,0,1
120,Thug Pants,1,1
121,Thug Boots,0,1
123,Deprecated Orc Apprentice Shirt,0,1
124,Deprecated Orc Apprentice Pants,1,1
125,Deprecated Orc Apprentice Boots,1,1
126,Deprecated Orc Apprentice Belt,1,1
127,Trapper's Shirt,0,1
128,Deprecated Tauren Trapper's Pants,1,1
129,Rugged Trapper's Boots,0,1
130,Deprecated Tauren Trapper's Belt,1,1
131,Deprecated Orc Acolyte's Belt,1,1
132,Deprecated Orc Acolyte's Boots,1,1
133,Deprecated Orc Acolyte's Shirt,0,1
134,Deprecated Stiff Leather Shirt,0,1
135,Deprecated Stiff Leather Pants,1,1
136,Deprecated Old Leather Boots,0,1
138,Deprecated War Harness,0,1
139,Brawler's Pants,1,1
140,Brawler's Boots,0,1
143,Monster - Shield, Stormwind Guard,1,1
147,Rugged Trapper's Pants,1,1
148,Rugged Trapper's Shirt,0,1
149,Deprecated Tauren Apprentice Belt,0,1
150,Deprecated Tauren Apprentice Pants,1,1
151,Deprecated Tauren Apprentice Shirt,0,1
153,Primitive Kilt,1,1
154,Primitive Mantle,0,1
155,Deprecated Tauren Recruit's Belt,1,1
156,Deprecated Tauren Recruit's Pants,1,1
157,Deprecated Tauren Recruit's Shirt,0,1
159,Refreshing Spring Water,1,5
182,Garrick's Head,0,1
184,Deprecated Small Brown Pouch,0,5
193,Tattered Cloth Vest,1,5
194,Tattered Cloth Pants,1,5
195,Tattered Cloth Boots,1,5
200,Thick Cloth Vest,17,22
201,Thick Cloth Pants,17,22
202,Thick Cloth Shoes,17,22
203,Thick Cloth Gloves,17,22
209,Dirty Leather Pants,1,5
210,Dirty Leather Boots,1,5
236,Cured Leather Armor,17,22
237,Cured Leather Pants,17,22
238,Cured Leather Boots,17,22
239,Cured Leather Gloves,17,22
285,Scalemail Vest,17,22
286,Scalemail Pants,17,22
287,Scalemail Boots,17,22
414,Dalaran Sharp,5,15
422,Dwarven Mild,15,25
527,Deprecated Gnoll War Beads,0,1
537,Dull Frenzy Scale,0,1
555,Rough Vulture Feathers,0,10
556,Buzzard Beak,0,1
647,Destiny,52,57
710,Bracers of the People's Militia,0,14
711,Tattered Cloth Gloves,1,5
714,Dirty Leather Gloves,1,5
718,Scalemail Gloves,17,22
719,Rabbit Handler Gloves,0,5
720,Brawler Gloves,23,28
723,Goretusk Liver,0,12
724,Goretusk Liver Pie,5,15
725,Gnoll Paw,0,1
727,Notched Shortsword,5,10
728,Recipe: Westfall Stew,0,15
729,Stringy Vulture Meat,0,10
730,Murloc Eye,0,11
731,Goretusk Snout,0,12
732,Okra,0,9
733,Westfall Stew,5,15
734,Deprecated Malakai's Medallion,0,1
735,Rolf and Malakai's Medallions,0,1
737,Holy Spring Water,0,1
738,Sack of Barley,0,1
739,Sack of Corn,0,1
740,Sack of Rye,0,1
741,Deprecated Copper Ingot,0,1
742,A Sycamore Branch,0,1
743,Bundle of Charred Oak,0,1
744,Thunderbrew's Boot Flask,0,44
745,Marshal McBride's Documents,0,1
746,Lord Brandon's Tabard (Test),1,1
748,Stormwind Armor Marker,0,1
750,Tough Wolf Meat,0,1
751,Deprecated Wolf Femur,1,3
752,Red Burlap Bandana,0,1
753,Dragonmaw Shortsword,23,28
754,Shortsword of Vengeance,42,47
755,Melted Candle,0,1
756,Tunnel Pick,24,29
761,Deprecated Elwynn Trout,1,10
763,Ice-covered Bracers,7,12
765,Silverleaf,0,5
766,Flanged Mace,2,7
767,Long Bo Staff,3,8
768,Lumberjack Axe,4,9
769,Chunk of Boar Meat,0,5
770,Pointy Crocolisk Tooth,0,1
771,Chipped Boar Tusk,0,1
772,Large Candle,0,1
773,Gold Dust,0,1
774,Malachite,0,7
776,Vendetta,26,31
777,Prowler Teeth,0,1
778,Kobold Excavation Pick,2,7
779,Shiny Seashell,0,1
780,Torn Murloc Fin,0,1
781,Stone Gnoll Hammer,4,9
782,Painted Gnoll Armband,0,1
783,Light Hide,0,10
784,Deprecated Tiny Flame Sac,0,5
785,Mageroyal,0,10
786,Deprecated Pure Copper Ingot,0,7
787,Slitherskin Mackerel,1,5
788,Test Fire Sword,0,1
